control_file,command,command_pattern,value_pattern,solver,is_legacy,source_url,source_page
TCF,AD Control File,AD Control File,[ ⟨ .adcf_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfADControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Adjust Head at ESTRY Interface,Adjust Head at ESTRY Interface,[ ON | ON Variable | {OFF} ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAdjustHeadatESTRYInterface,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate dV Cell Tolerance,Auto Terminate dV Cell Tolerance,[ {0%} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminatedVCellTolerance,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate dV Value Tolerance,Auto Terminate dV Value Tolerance,[ {0} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminatedVValueTolerance,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate Start Time,Auto Terminate Start Time,[ {Simulation Start Time} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminateStartTime,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate Wet Cell Tolerance,Auto Terminate Wet Cell Tolerance,[ {0} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminateWetCellTolerance,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Control File,BC Control File,[ ⟨ .tbc ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Database,BC Database,[ ⟨ .csv ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCDatabase,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Event Name,BC Event Name,[ ⟨ bc_event_name ⟩ ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCEventName,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Event Source,BC Event Source,[ ⟨bc_event_text⟩ | ⟨bc_event_name⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCEventSource,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Event Text,BC Event Text,[ ⟨bc_event_text⟩ ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCEventText,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Wet/Dry Method,BC Wet/Dry Method,[ PRE 2005-11-AF ],Classic Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCWetDryMethod,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Zero Flow,BC Zero Flow,[ {OFF} | START | END | START and END | ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCZeroFlow,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Bed Resistance Cell Sides,Bed Resistance Cell Sides,[ AVERAGE M | AVERAGE n | MAXIMUM n | {INTERROGATE} ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBedResistanceCellSides,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Bed Resistance Depth Interpolation,Bed Resistance Depth Interpolation,[ LINEAR M | {SPLINE n} | LINEAR n ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBedResistanceDepthInterpolation,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Bed Resistance Values,Bed Resistance Values,[ {MANNING N} | MANNING M | CHEZY ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBedResistanceValues,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BG FLC Default Approach,BG FLC Default Approach,[ {LINEAR} | LINEAR-CONSTANT | PARABOLIC | INVERTED-PARABOLIC ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBGFLCDefaultApproach,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blank BG FLC Approach,Blank BG FLC Approach,[ {NONE} | METHOD A | METHOD B ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlankBGFLCApproach,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage AEP,Blockage AEP,[ ⟨ aep value in % ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageAEP,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage ARI,Blockage ARI,[ ⟨ ari value in years ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageARI,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage Default,Blockage Default,[ ⟨ Default Blockage Category ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageDefault,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage Matrix,Blockage Matrix,[ {OFF} | ON ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageMatrix,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage Matrix File,Blockage Matrix File,[ ⟨ link to blockage .csv file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageMatrixFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage Method,Blockage Method,[ ELM | RAM | {} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageMethod,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage Override,Blockage Override,[ ⟨ Blockage Category ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageOverride,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage PMF AEP,Blockage PMF AEP,[ ⟨ aep value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockagePMFAEP,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage PMF ARI,Blockage PMF ARI,[ ⟨ ari value in years ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockagePMFARI,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blockage Return Period,Blockage Return Period,[ AEP | ARI ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlockageReturnPeriod,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Blue Kenue Start Date,Blue Kenue Start Date,[ ⟨ date in isodate format ⟩ ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBlueKenueStartDate,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Boundary Viscosity Factor,Boundary Viscosity Factor,[ {1.0} | ⟨ factor ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBoundaryViscosityFactor,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BSS Cutoff Depth,BSS Cutoff Depth,[ {0.1} | ⟨ BSS_cutoff_depth ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBSSCutoffDepth,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Calibration Points MI File,Calibration Points MI File,[ ⟨ mif_layer ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCalibrationPointsMIFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Cell Side Wet/Dry Depth,Cell Side Wet/Dry Depth,[ {0.001} | ⟨ depth_in_m ⟩ ],Classic Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCellSideWetDryDepth,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Cell Size,Cell Size,[ ⟨ value_in_metres ⟩ ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCellSize,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Cell Wet/Dry Depth,Cell Wet/Dry Depth,[ {0.002} | ⟨ depth_in_m ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCellWetDryDepth,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Change Zero Material Values to One,Change Zero Material Values to One,[ ON | {OFF} ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfChangeZeroMaterialValuestoOne,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Check Inside Grid,Check Inside Grid,[ {ERROR} | WARNING | OFF ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCheckInsideGrid,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Check MI Save Date,Check MI Save Date,[ {ERROR} | WARNING | OFF ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCheckMISaveDate,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Check MI Save Ext,Check MI Save Ext,[ {.tab} | ⟨ ext ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCheckMISaveExt,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Command Line Processing,Command Line Processing,[ {2016} | Pre 2016 ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCommandLineProcessing,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Control Number Factor,Control Number Factor,[ {1.0} | ⟨CN_value⟩ ],HPC Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfControlNumberFactor,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,CPU Threads,CPU Threads,[ {2.0} | ⟨number_of_CPU⟩ ],HPC Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCPUThreads,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,CSV Header Line,CSV Header Line,[ {} | SINGLE ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCSVHeaderLine,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,CSV Maximum Number Columns,CSV Maximum Number Columns,[ ⟨max_col⟩ ],Classic Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCSVMaximumNumberColumns,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,CSV Time,CSV Time,[ DAYS | {HOURS} | MINUTES | SECONDS ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfCSVTime,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Defaults,Defaults,[ PRE ⟨Release⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDefaults,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Define Output Zone,Define Output Zone,[ ⟨oz_name⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDefineOutputZone,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Demo Model,Demo Model,[ ON | {OFF} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDemoModel,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Density of Air,Density of Air,[ {1.25} | ⟨value⟩ ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDensityofAir,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Density of Water,Density of Water,[ {1025} | ⟨value⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDensityofWater,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Depth/Ripple Height Factor Limit,Depth/Ripple Height Factor Limit,[ {10} | ⟨value⟩ ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDepthRippleHeightFactorLimit,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Display Water Level,Display Water Level,"[ ⟨X⟩, ⟨Y⟩ ]",Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDisplayWaterLevel,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Distribute HX Flows,Distribute HX Flows,[ ON | {OFF} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfDistributeHXFlows,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End 1D Domain,End 1D Domain,,Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEnd1DDomain,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End 2D Domain,End 2D Domain,,Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEnd2DDomain,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End After Maximum,End After Maximum,[ ⟨eam⟩ | [ {0.001} | ⟨h_tol⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEndAfterMaximum,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End After Maximum Start Time,End After Maximum Start Time,[ {0} | ⟨time in hours⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEndAfterMaximumStartTime,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End Define,End Define,,Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEndDefine,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End Map Output,End Map Output,[ ⟨ time_in_hours ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEndMapOutput,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,End Time,End Time,[ ⟨ time_in_hours ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEndTime,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,ESTRY Control File,ESTRY Control File [ {} | AUTO],[ {} | AUTO] == ⟨ .ecf_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfESTRYControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,ESTRY Control File AUTO,ESTRY Control File [ {} | AUTO],[ {} | AUTO] == ⟨ .ecf_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfESTRYControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Event File,Event File,[ ⟨ .tef_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfEventFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Excel Start Date,Excel Start Date,[ ⟨ days_since_1900 ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfExcelStartDate,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,External Stress File,External Stress File,[ ⟨ .tesf_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfExternalStressFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,FEWS Geodatum,FEWS Geodatum,[ ⟨ geodatum string ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFEWSGeodatum,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,FEWS Input File,FEWS Input File,[ ⟨ FEWS boundary file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFEWSInputfile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,File Retry Max Count,File Retry Max Count,[ <max count> | {40} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFileRetryMaxCount,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,File Retry Timeout,File Retry Timeout,[ <max time> | {30} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFileRetryTimeout,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,First Sweep Direction,First Sweep Direction,[ AUTOMATIC | {POSITIVE} | NEGATIVE ],Classic Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFirstSweepDirection,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Force File IO Display,Force File IO Display,[ ON | {OFF} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfForceFileIODisplay,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Free Overfall,Free Overfall,[ {ON} | ON WITHOUT WEIRS | OFF ],Classic Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFreeOverfall,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Free Overfall Factor,Free Overfall Factor,[ {0.6} | ⟨ value_0.0_to_1.0 ⟩ ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFreeOverfallFactor,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Froude Check,Froude Check,[ {1} | ⟨ froude_no ⟩ ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFroudeCheck,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Froude Depth Adjustment,Froude Depth Adjustment,[ {ON} | OFF ],Classic Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfFroudeDepthAdjustment,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GA Convergence Value,GA Convergence Value,[ {0.001} | ⟨ value ⟩ ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGAConvergenceValue,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GA Maximum Iterations,GA Maximum Iterations,[ {ON} | OFF ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGAMaximumIternations,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Geometry Control File,Geometry Control File,[ ⟨ .tgc_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGeometryControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Format,GIS Format,[ {MIF} | SHP | GPKG ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISFormat,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Grid Vector Direction,GIS Grid Vector Direction,[ {ANGLE} | BEARING | VERBOSE ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISGridVectorDirection,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Grid Vector SF,GIS Grid Vector SF,[ {1} | ⟨ scale factor ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISGridVectorSF,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Grid Vector TTF,GIS Grid Vector TTF,[ {0} | ⟨ tail_thickness_factor ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISGridVectorTTF,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Grid Vector Type,GIS Grid Vector Type,[ {Region} | Point ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISGridVectorType,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Project Path Format,GIS Project Path Format,[ Absolute | {Relative} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISProjectPathFormat,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Projection Check,GIS Projection Check,[ {ERROR} | WARNING ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISProjectionCheck,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Supported Object Ignored,GIS Supported Object Ignored,[ ERROR | {WARNING} ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISSupportedObjectIgnored,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GIS Unsupported Object,GIS Unsupported Object,[ {ERROR} | WARNING ] | [ {1} | ⟨ level ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGISUnsupportedObject,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Global FC Ch Factor,Global FC Ch Factor,[ {0.8} | ⟨ Ch ⟩ ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGlobalFCChFactor,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Global Rainfall Use Material Loss,Global Rainfall Use Material Loss,[ OFF | {ON} ],Classic Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGlobalRainfallUseMaterialLoss,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Global Weir Factor,Global Weir Factor,[ {1.0} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGlobalWeirFactor,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPKG Conversion Check,GPKG Conversion Check,[ WARNING ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPKGConversionCheck,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPKG Projection,GPKG Projection,[ ⟨ GPKG layer ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPKGProjection,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPU Device IDs,GPU Device IDs,[ ⟨ list_of_device_ids ⟩ ],HPC Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPUDeviceIDs,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPU DP Check,GPU DP Check,[ {ERROR} | OFF ],HPC Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPUDPCheck,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPU Peer to Peer Access,GPU Peer to Peer Access,[ DISABLED | {ENABLED IF AVAILABLE} ],HPC Only,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPUPeertoPeerAccess,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,RAM Optimisation,RAM Optimisation,[ {ON} | OFF ],HPC Only,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfRAMOptimisation,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPU Solver,GPU Solver,[ [ ON | {OFF} ],GPU (pre-2017 HPC release) if set to ON,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPUSolver,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,GPU Temporal Scheme,GPU Temporal Scheme,[ [ 1 | 2 | {4} ],GPU (pre-2017 HPC release),true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfGPUTemporalScheme,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
